page,year,case_name,jurisdiction,fidic_books,summary,link_label,link
1,2025,"M/s Chennai Metro Rail v Transtonnelstroy, Original Petition No. 569 & 570 of 2017, 07 November 2025","High Court of Tamil Nadu at Madras (Chennai), India",1995 Orange,"This is a petition to set aside 2 arbitration awards in the High Court of Madras, in Tamil Nadu, India, relating to a contract for the design and construction of two underground stations and tunnels. During the operation of the contract, the government amended local law to impose liability on contractors to pay specific costs. Transtonnelstroy, the Contractor, challenged this in court separately, and asked Chennai Rail (the Employer) to cover these additional costs. Chennai Rail refused on the basis that Transtonnelstroy was not entitled. Transtonnelstroy then sought amicable settlement, which was also rejected, after which they sought arbitration. Transtonnelstroy argued that clauses 32 (which dealt with the price mechanism) and 37 (which dealt with variations to costs) were distinct provisions, and that clause 37 automatically kicked in when there was a change to legislation, regardless of the price mechanism changing under clause 32. The Arbitral Tribunal decided in favour of Transtonnelstroy ('the Awards'), which led to the current proceedings where Chennai Rail applied to set the Awards. Chennai Rail argued that the Awards conflicted with the express terms of the contract, as clause 13.16 of the contract only allowed for 3 exceptions to changes in price due to legislative change; the Tribunal's interpretation made clause 13.16 redundant. Chennai Rail also claimed that Transtonnelstroy's compensation had already been covered under clause 32, and additional compensation under clause 37 would be patently illegal and contrary to public policy. Transtonnelstroy responded by arguing that clause 13.16 was not only restricted to the 3 exceptions, and that it should be interpreted flexibly to include other reasons for cost increases due to legislative change. Transtonnelstroy defended the Tribunal's findings as reasonable and a plausible interpretation of the contract. The court agreed with Transtonnelstroy that clauses 32 and 37 were intended for different purposes, and also that clause 13.16 was correctly worded. However, the court also considered that it was unreasonable for a contractor to claim for additional costs which had already been compensated under the contract, as was the case with Transtonnelstroy under clause 32. As such, the Tribunal had violated public policy and legislation in finding that Transtonnelstroy were entitled to additional compensation under clause 37. The court set aside the Awards with costs in favour of Chennai Rail.",Link,https://www.casemine.com/judgement/in/690e3511a650582082d3244e
1,2025,Gordon Winter Company Ltd v NH International (Caribbean) Ltd (Trinidad and Tobago) [2025] UKPC 52 (30 October 2025),Privy Council,1999 (Colour not specified),"This is an appeal to the Privy Council against a decision by the Court of Appeal of Trinidad and Tobago, relating to a subcontract for piling work for the construction of a building. NH International (NH or the Contractor) contracted with the Ministry of Education of Trinidad and Tobago (the Employer) for the construction of a ten-storey building. NH subcontracted the piling works to Gordon Winter. The piling works were more difficult than expected due to soil conditions. As such the specification of the works had to be changed. After carrying out some of the works, Gordon Winter terminated the contract, having only received partial payment. Gordon Winter claimed against NH for damages on quantum meruit basis, arguing that NH had been unjustly enriched to Gordon Winter's disadvantage. NH counterclaimed for repudiatory breach of contract. The court of first instance considered that Gordon Winter could not succeed on their original argument of unjust enrichment as their claims were governed by the contract. The court of first instance found that Gordon Winter was entitled to full payment of the works completed, while NH was also entitled to damages for repudiatory breach. Gordon Winter appealed to the Court of Appeal, which also found Gordon Winter to be in repudiatory breach. The Court found that Gordon Winter could not prove unjust enrichment by NH; as such, the appeal failed. The Court also decided that Gordon Winter's other claims had merit and were to be assessed by a Master. NH challenged the Court of Appeal’s award, arguing that NH had been denied a fair chance to respond. The Privy Council dismissed the appeal, finding NH had in the prior proceedings itself relied on the existence of a contract, Gordon Winter had signalled an alternative contractual claim during proceedings, and no viable defences were available. The Privy Council also rejected arguments based on estoppel and election, noting Gordon Winter was entitled to plead alternatives. It concluded that Gordon Winter’s entitlement was valid under either express or implied contractual terms, and no injustice had occurred. The Privy Council also dismissed NH’s argument that a contractual quantum meruit must be based on an implied term, affirming that it can arise from either express or implied terms.",Link,https://www.bailii.org/cgi-bin/markup.cgi?doc=uk/cases/UKPC/2025/52.html&query=fidic
1,2025,"National Highways Authority Of India vs Hindustan Construction Co.Ltd on 16 October, 2025","High Court of Delhi at New Delhi, India",Not specified,"This is a petition to set aside an arbitral award in the Delhi High Court in India, relating to a contract for the road works in Uttar Pradesh, from Lucknow to Ayodhya. The National Highways Authority (NHA or the Employer) hired Hindustan Construction Co, the Contractor, for the development of a highway. The works were finished 3 years after the agreed contract completion date, with Hindustan Construction needing several extensions of time to complete the works. Hindustan Construction brought arbitration proceedings against NHA due to a dispute over payment for additional costs that arose in the additional 3 years. An Arbitral Tribunal awarded Hindustan Construction a sum and 12% monthly compound interest for prolongation costs. NHA sought to set aside the award on the following grounds: 1) the Tribunal had exceeded the contract terms by ignoring clauses restricting price escalation and compensation; 2) the delays were Hindustan Construction's fault due to poor mobilisation, planning and equipment, as such NHA should not have been liable for the project prolongation; 3) the award was perverse and arbitrary, as the Tribunal chose to selectively consider and ignore evidence such as Engineer's Reports and Chartered Accountant Certificates; 4) price adjustment was already provided for under clause 70 and Hindustan Construction should not be allowed to pursue double recovery; and 5) the interest rate awarded was excessive and unreasonable. Hindustan Construction opposed the petition on grounds that: 1) under national legislation, the court had limited scope to set aside an award and the court was not empowered to reconsider evidence (e.g. the Tribunal's interpretation of the contract) in the case; 2) the delays were not attributable to Hindustan Construction as the Engineer confirmed their entitlement to extensions of time, which were granted without liquidated damages; 3) clauses 6.4, 12.2, and 42.2 allowed for compensation due to Employer- caused delay; 4) Chartered Accountant Certificates constituted valid evidence and had been accepted in prior disputes; and 5) the interest rate awarded was justified based on clause 60.8 and restitution principles. The court agreed with Hindustan Construction that the court was limited in its ability to consider the Tribunal's findings of fact: the court was only empowered to interfere in grounds of patent illegality, perversity, or violation of public policy. The court also agreed with Hindustan Construction that the delays in the project were attributable to NHA, rather than Hindustan Construction, and that compensation beyond price escalation was indeed permissible under clauses 6.4, 12.2, 42.2. Further, Hindustan Construction's reliance on Chartered Accountant Certificates was valid, as was the awarded interest rate under clause 60.8. However, the court also found in favour of NHA, finding that the Tribunal had wrongly disregarded the Engineer's Reports, particularly in regard to plant and machinery costs. As such, the part of the award relating to plant and machinery costs was set aside, while the remainder (approximately half of the original award) was upheld.",Link,https://indiankanoon.org/doc/183501533/
2,2025,"JSC Power Machines v. Vietnam Oil and Gas Group and PetroVietnam Technical Service Corporation, SIAC Case No. ARB274/19/AB, Judgment of the Court of Appeal of Singapore [2025] SGCA 50 - 10 Oct 2025",Court of Appeal of Singapore,1999 Silver,"This is a judgment in the High Court of Singapore. The case concerns an application by the respondent (PVN or the Employer) in an arbitral award (discussed elsewhere in this table) to restrain the appellant (Power Machines or the Contractor) from enforcing previously granted arbitral awards globally, pending the conclusion of Singapore court proceedings to set aside enforcement decisions and the awards themselves. The underlying contract related to a large-scale energy and civil infrastructure project, and the arbitration was seated in Singapore under SIAC Rules. This is a judgment in the Court of Appeal of Singapore. The case concerns a dispute arising from a contract for the construction of a thermal power plant in Vietnam. The contract was governed by Vietnamese law and contained an arbitration clause referring disputes to SIAC arbitration in Singapore. Power Machines, a Russian company, and PetroVietnam Technical Service Corporation (PTSC), a Vietnamese company, together made up a Consortium of Contractors and entered into a contract with Vietnam Oil & Gas Group (PVN or the Employer) in 2014 for the construction of a power plant in Vietnam (the Project), which commenced in 2015. The imposition of US sanctions on Russian companies in 2014, which included Power Machines, led to Power Machines' subcontractors being affected and suspending their work on the Project in 2018. This ultimately led to a dispute over termination and related costs and damages (discussed elsewhere in this table), which was decided in an arbitral award. The arbitral tribunal issued a Final Award largely in PM’s favour, holding that the first notice was invalid but that the second notice validly terminated the contract. PVN applied to set aside the award, arguing breach of natural justice and excess of jurisdiction. The High Court found that the tribunal’s reasoning—specifically its conclusion that the second notice “overrode and superseded” the first—had no nexus to the parties’ cases and breached the fair hearing rule. Instead of setting aside the award, the Judge ordered remission to the tribunal under Article 34(4) of the UNCITRAL Model Law. On appeal, PM challenged the finding of breach, while PVN challenged the remission order. PM argued there was no breach of natural justice, claiming the tribunal’s reasoning was foreseeable and based on issues addressed during arbitration. It cited expert evidence on consecutive termination notices, asserted PVN suffered no prejudice, and maintained the tribunal acted within its mandate to draw reasonable inferences from presented arguments. PVN argued the tribunal breached natural justice by adopting unforeseeable reasoning contrary to both parties’ cases, causing prejudice. It claimed the tribunal exceeded its jurisdiction, as the issue was never pleaded. PVN opposed remission, citing procedural defects, risk of bias, centrality of the breach, and unfair need for PM to amend pleadings. The Court of Appeal held that the tribunal’s reasoning at para 548 of the Final Award was unforeseeable, contrary to PM’s pleaded position, and unsupported by expert evidence, thereby breaching natural justice. The court also found that remission was inappropriate because the breach was serious, central to liability, and raised concerns of prejudgment. The court clarified principles on the fair hearing rule, scope of submission and procedural requirements for remission under local law. The Court of Appeal dismissed PM’s appeal, allowed PVN’s appeal, set aside the remission order, and struck out para 548 of the Final Award and consequential findings.",Link*,https://jusmundi.com/en/document/decision/en-jsc-power-machines-v-vietnam-oil-and-gas-group-and-petrovietnam-technical-service-corporation-judgment-of-the-court-of-appeal-of-singapore-2025-sgca-50-friday-10th-october-2025#decision_84401
2,2025,Rosslyn Suites Limited v Bowman Associates (Commercial Case E445 of 2025) [2025] KEHC 13436 (KLR) (Commercial and Tax) (25 September 2025) (Ruling),High Court of Kenya at Nairobi,"Red, Year not specified","This is a notice of objection to a suit filed before the court in relation to a FIDIC contract, the details of which were undisclosed in these proceedings. Rosslyn Suites filed court proceedings against Bowman Associates due to grievances relating to variations and changes in valuation of works under the contract. Bowman Associates objected to the filing of these proceedings and challenged the jurisdiction of the court to hear the suit on grounds that clause 20.4 of the contract required parties to refer any dispute to arbitration than the courts. Rosslyn Suites argued that Bowman Associates' notice of objection was misplaced as Rosslyn Suites were appointed as the Architect in the project, and therefore were not subject to the FIDIC contract as they were not a party to it. The court dismissed the notice, finding that Rosslyn Suites were in fact not party to the contract, and therefore clause 20.4 of the contract could not be binding on them.",Link,https://new.kenyalaw.org/akn/ke/judgment/kehc/2025/13436/eng@2025-09-25
2,2025,Fountain Civil Engineering (Pty) Ltd v Actophambili Roads (Pty) Ltd (AR401/2023) [2025] ZAKZPHC 99 (19 September 2025),"High Court of South Africa at KwaZulu-Natal, Pietermaritzburg",1999 Red,"This is an appeal in the High Court of Kwazulu-Natal Division of South Africa against a previous court judgment decided in favour of the respondent. SANRAL (the South African Roads Agency), the Employer, contracted with Fountain Civil Engineering (Fountain), the Contractor to carry out roadworks. Fountain subcontracted part of the works to Actophambili Roads, the Sub-Contractor (Actophambili). Actophambili completed part of the works and was paid, after which Fountain and Actophambili mutually agreed to cancel the contract. After the cancellation, Actophambili issued 3 more invoices, which Fountain disputed and refused to pay. Actophambili then sued Fountain for payment in the courts. In defence, Fountain argued that they did not owe the amount Actophambili was claiming for; that Actophambili's work was defective; and that Actophambili's 3 invoices were non-compliant with clause 3.6 of the contract. Fountain counterclaimed for damages to cover remedying the defective works and liquidated damages for delayed completion of the works. The court of first instance decided in favour of Actophambili, dismissing Fountain's reliance on clause 3.6 as 'opportunistic' and not considering the counterclaim. In these proceedings, Fountain filed an appeal to challenge the judgment. Fountain argued that Actophambili had not discharged the burden of proving their compliance with the contract, and argued that Actophambili was not entitled to enforce payment without proof and certification of the works completed. Fountain also argued that their reliance on clause 3.6, and challenged the court of first instance's decision to prioritise past conduct between the parties over the contract terms. Actophambili responded to the appeal by arguing that Fountain should not be able to rely on compliance with a formality to avoid liability for payment, and also that Fountain was trying to rely on defences not raised in the first instance, and finally that Fountain had not discharged the onus of proving its special defence in appealing. The High Court found that clause 3.6 was undisputed and required certified payment certificates for payment to be made. Actophambili's invoices had not been certified and lacked important source documentation, and further Actophambili had not followed the correct dispute resolution procedure under clause 20 of the contract. The High Court also found that the trial court had erred in relyng on past conduct between the parties rather than on enforcing the contract. As such, the appeal was upheld, the original judgment set aside, and a sum was awarded to Fountain. However, the court dismissed Fountain's application for liquidated damages.",Link,https://www.saflii.org/za/cases/ZAKZPHC/2025/99.pdf
2,2025,National Irrigation Authority formerly the National Irrigation Board v Satom SA (Civil Appeal E933 of 2023) [2025] KECA 1472 (KLR) (12 September 2025),Court of Appeal of Kenya at Nairobi,2010 Pink,"This is an appeal in the Kenya High Court against a prior court judgment, relating to a contract for irrigation and construction works for two canals in Kenya. The National Irrigation Authority (NIA), the Employer, entered into a contract with Sogea-Satom (aka Sogea) for the works. Disputes arose and, in line with clause 20.4 of the contract, were referred to a Dispute Board (DB). The DB issued 4 decisions requiring NIA to pay Sogea for outstanding payments, 2 of which were final and binding. Sogea later terminated the contract for non-payment, and applied to the High Court to enforce the DB decisions. NIA applied to stay the proceedings on the basis that Sogea had failed to exhaust the mandatory dispute resolution mechanisms preceding litigation under clause 20 of the contract. The High Court held that the DB decisions were enforceable under the “pay now, argue later” principle and rejected NIA's application to stay proceedings. NIA appealed to the Court of Appeal, arguing: 1) the High Court had erred by refusing to refer the matter to arbitration despite a valid arbitration clause; 2) the DB decisions were invalid after the termination of the contract and contravened local laws; 3) the decision of summary judgment was improper as there were triable issues at hand; and 4) the court lacked jurisdiction due to the dispute resolution mechanism under clause 20 requiring arbitration to be attempted before resorting to court proceedings. Sogea opposed the appeal on the following grounds: 1) NIA's stay application in the High Court was time-barred according to local law; 2) there was no live dispute to refer to arbitration as the DB decisions were already enforceable and so NIA could not avoid prompt payment under the “pay now, argue later” principle; and 3) Sogea was entitled to summary judgment as there was no live dispute and NIA had no real defence to non-payment of the DB awards. Although the Court of Appeal agreed with NIA that failing to comply with clause 20's dispute resolution mechanism was cause to stay proceedings, they also noted that NIA's stay application was time-barred and therefore NIA had lost the right to make the application. The Court of Appeal also noted that DB jurisdiction survives contract termination; the parties had agreed to be bound by the DB even after termination of the contract. Finally, the Court of Appeal found that the High Court granting summary judgment was proper as there was no triable issue at hand; the DB decisions were enforceable unless overturned by arbitration. The Court of Appeal dismissed NIA's appeal with costs to Sogea, and upheld enforcement of the DB decisions.",Link,https://new.kenyalaw.org/akn/ke/judgment/keca/2025/1472/eng@2025-09-12
3,2025,"Case No. A40-208566/24-80-1434, 11 September 2025","Arbitration Court of Moscow City, Russia",Not specified,"This is a cassation appeal against a previous appellate decision (dated 22 May 2025, elsewhere in this table) challenging a court of first instance decision (featured elsewhere in this table) dated 10 March 2025. The original contract was for the development and operation of a highway in Russia. The language of this case is Russian. The first instance proceedings constituted an application for penalty for late payment by the Employer (the Respondent) of an arbitral award. The court of first instance denied the claim, citing the expired limitation period. The Appeal Court overturned the court of first instance's decision as it found that the limitation period was calculated from the date of actual payment, so 75% of the claim was still timely. In these proceedings, the Employer filed a cassation appeal to overturn the Appeal Court's decision, claiming that the Appeal Court had misapplied substantive and procedural norms and had incorrectly interpreted the date from which the limitation period should run, thus constituting judicial error. The Employer alleged the Appeal Court had breached adversarial principles and equality of parties. The Cassation Court found that there were: 1) no procedural or substantive law violations by the Appeal Court; 2) the Appeal Court had correctly applied the statute of limitations and contractual terms; and 3) the Employer had submitted arguments that were based on a misinterpretation of law. As such, the appeal decision was upheld and the cassation appeal was dismissed, with the Contractor retaining the right to recover the awarded penalties.",Link,https://ras.arbitr.ru/Document/Pdf/df1cf9e6-f4c7-413c-86eb-374bfded954b/d7ca6500-3caf-481e-9ee7-bed8df48cab7/%D0%9040-208566-2024__20250911.pdf?isAddStamp=True
3,2025,"Vietnam National Industry – Energy Group v Joint Stock Company (Power Machines – ZTL, LMZ, Electrosila Energomachexport), [2025] SGHC 180, Originating Application No 520 of 2025, 08 September 2025",High Court of Singapore (General Division),1999 Silver,"This was an application for an injunction restraining enforcement proceedings for a Final Award (dated 30 November 2023) centring on a contract for the construction of a power plant. In SIAC Arbitration No. 274/2019, Power Machines obtained a Final Award against Vietnam Oil and Gas Group (PVN). Power Machines sought enforcement in Singapore and Russia. The Singapore court initially granted enforcement but later found a breach of natural justice in the tribunal’s reasoning and remitted the issue for reconsideration. Meanwhile, Russian courts enforced the award, dismissing PVN’s challenges. The tribunal upheld its original findings in a Remission Award. PVN continued to challenge enforcement globally but was unsuccessful. In the most recent decision in the Singapore High Court, PVN applied to restrain Power Machines from enforcing the awards until those appeals are resolved. The judge dismissed PVN's application, stating that there was no merit to their case. The judge declined Power Machines' request for indemnity costs against PVN, stating that their conduct was not unreasonable enough to warrant indemnity costs, though it came close.",Link,https://www.elitigation.sg/gd/s/2025_SGHC_180
3,2025,"JSC Power Machines v. Vietnam Oil and Gas Group and PetroVietnam Technical Service Corporation, SIAC Case No. ARB274/19/AB, Judgment of the High Court of Singapore [2025] SGHC 180 - 8 Sept 2025",High Court of Singapore,1999 Silver,"This is a judgment in the High Court of Singapore. The case concerns an application by the respondent (PVN or the Employer) in an arbitral award (discussed elsewhere in this table) to restrain the appellant (Power Machines or the Contractor) from enforcing previously granted arbitral awards globally, pending the conclusion of Singapore court proceedings to set aside enforcement decisions and the awards themselves. The underlying contract related to a large-scale energy and civil infrastructure project, and the arbitration was seated in Singapore under SIAC Rules. Power Machines, a Russian company, and PetroVietnam Technical Service Corporation (PTSC), a Vietnamese company, together made up a Consortium of Contractors and entered into a contract with Vietnam Oil & Gas Group (PVN, aka the Employer) in 2014 for the construction of a power plant in Vietnam (the Project), which commenced in 2015. The imposition of US sanctions on Russian companies in 2014, which included Power Machines, led to Power Machines' subcontractors being affected and suspending their work on the Project in 2018. This ultimately led to a dispute over termination and related costs and damages (discussed elsewhere in this table), which was decided in an arbitral award. This led to a protracted court battle in both the Moscow and Singapore High Courts regarding the enforcement and legitimacy of the awards. PVN argued that enforcement should be restrained because: (1) under Article 36(1)(a)(v) of the UNCITRAL Model Law (and s 31(2)(f) of the International Arbitration Act), the awards were suspended by the supervisory court, giving PVN a contractual right to prevent enforcement globally; (2) enforcement would breach an implied term of the arbitration agreement that Power Machines could not oust the jurisdiction of Singapore courts; (3) enforcement would breach the court’s earlier order of 23 July 2024 prohibiting enforcement “in the meantime” and (4) the ends of justice required an injunction pending appeals, as otherwise PVN’s rights might be rendered nugatory. Power Machines countered that: (1) no suspension order existed - the awards remained binding; (2) the arbitration agreement contained no implied term preventing enforcement abroad; (3) the July 2024 order applied only to enforcement in Singapore, not worldwide; (4) under the New York Convention, foreign enforcement courts have discretion and are not bound by Singapore’s decisions, so PVN’s arguments lacked merit. The court examined local law and Article V(1)(e) of the New York Convention. It held that local law did not give PVN a contractual right to restrain enforcement globally. The July 2024 order only restricted enforcement in Singapore. The court emphasized that enforcement courts abroad retained discretion under the New York Convention and were not obliged to follow Singapore’s decisions. PVN’s arguments on implied terms and ends of justice were found wholly unmeritorious: the High Court dismissed PVN’s application for an anti-enforcement injunction and ordered PVN to pay costs.",Link*,https://jusmundi.com/en/document/decision/en-jsc-power-machines-v-vietnam-oil-and-gas-group-and-petrovietnam-technical-service-corporation-judgment-of-the-high-court-of-singapore-2025-sghc-180-monday-8th-september-2025#decision_83386
